      Time   Sample #  Type  Sub Chan  Num	Aux
   10:41.544   160386     /    0    0    0
   10:42.356   160589     /    0    0    0
   10:43.152   160788     /    0    0    0
   10:43.960   160990     /    0    0    0
   10:44.816   161204     /    0    0    0
   10:45.668   161417     /    0    0    0
   10:46.500   161625     /    0    0    0
   10:47.324   161831     /    0    0    0
   10:48.152   162038     /    0    0    0
   10:48.948   162237     /    0    0    0
   10:49.740   162435     /    0    0    0
   10:50.572   162643     /    0    0    0
   10:51.440   162860     /    0    0    0
   10:52.288   163072     /    0    0    0
   10:53.120   163280     /    0    0    0
   10:53.936   163484     /    0    0    0
   10:54.752   163688     /    0    0    0
   10:55.552   163888     /    0    0    0
   10:56.356   164089     /    0    0    0
   10:57.220   164305     /    0    0    0
   10:58.080   164520     /    0    0    0
   10:58.912   164728     /    0    0    0
   10:59.732   164933     /    0    0    0
   11:00.524   165131     /    0    0    0
   11:01.340   165335     /    0    0    0
   11:02.152   165538     /    0    0    0
   11:02.976   165744     /    0    0    0
   11:03.852   165963     /    0    0    0
   11:04.716   166179     /    0    0    0
   11:05.532   166383     /    0    0    0
   11:06.340   166585     /    0    0    0
   11:07.136   166784     /    0    0    0
   11:07.960   166990     /    0    0    0
   11:08.788   167197     /    0    0    0
   11:09.628   167407     /    0    0    0
   11:10.504   167626     /    0    0    0
   11:11.344   167836     /    0    0    0
   11:12.128   168032     /    0    0    0
   11:13.016   168254     /    0    0    0
   11:13.736   168434     /    0    0    0
   11:14.572   168643     /    0    0    0
   11:15.420   168855     /    0    0    0
   11:16.260   169065     /    0    0    0
   11:17.140   169285     /    0    0    0
   11:17.952   169488     /    0    0    0
   11:18.736   169684     /    0    0    0
   11:19.536   169884     /    0    0    0
   11:20.356   170089     /    0    0    0
   11:21.216   170304     /    0    0    0
   11:22.060   170515     /    0    0    0
   11:22.892   170723     /    0    0    0
   11:23.744   170936     /    0    0    0
   11:24.544   171136     /    0    0    0
   11:25.332   171333     /    0    0    0
   11:26.144   171536     /    0    0    0
   11:26.988   171747     /    0    0    0
   11:27.868   171967     /    0    0    0
   11:28.708   172177     /    0    0    0
   11:29.524   172381     /    0    0    0
   11:30.356   172589     /    0    0    0
   11:31.156   172789     /    0    0    0
   11:31.940   172985     /    0    0    0
   11:32.772   173193     /    0    0    0
   11:33.624   173406     /    0    0    0
   11:34.492   173623     /    0    0    0
   11:35.316   173829     /    0    0    0
   11:36.116   174029     /    0    0    0
   11:36.948   174237     /    0    0    0
   11:37.756   174439     /    0    0    0
   11:38.560   174640     /    0    0    0
   11:39.472   174868     /    0    0    0
   11:40.280   175070     /    0    0    0
   11:41.124   175281     /    0    0    0
   11:41.928   175482     /    0    0    0
   11:42.728   175682     /    0    0    0
   11:43.548   175887     /    0    0    0
   11:44.360   176090     /    0    0    0
   11:45.188   176297     /    0    0    0
   11:46.036   176509     /    0    0    0
   11:46.900   176725     /    0    0    0
   11:47.728   176932     /    0    0    0
   11:48.524   177131     /    0    0    0
   11:49.332   177333     /    0    0    0
   11:50.160   177540     /    0    0    0
   11:50.992   177748     /    0    0    0
   11:51.840   177960     /    0    0    0
   11:52.680   178170     /    0    0    0
   11:53.588   178397     /    0    0    0
   11:54.336   178584     /    0    0    0
   11:55.116   178779     /    0    0    0
   11:55.936   178984     /    0    0    0
   11:56.776   179194     /    0    0    0
   11:57.616   179404     /    0    0    0
   11:58.468   179617     /    0    0    0
   11:59.304   179826     /    0    0    0
   12:00.132   180033     /    0    0    0
   12:00.932   180233     /    0    0    0
   12:01.716   180429     /    0    0    0
   12:02.564   180641     /    0    0    0
   12:03.420   180855     /    0    0    0
   12:04.256   181064     /    0    0    0
   12:05.100   181275     /    0    0    0
   12:05.916   181479     /    0    0    0
   12:06.724   181681     /    0    0    0
   12:07.520   181880     /    0    0    0
   12:08.320   182080     /    0    0    0
   12:09.188   182297     /    0    0    0
   12:10.052   182513     /    0    0    0
   12:10.892   182723     /    0    0    0
   12:11.720   182930     /    0    0    0
   12:12.524   183131     /    0    0    0
   12:13.336   183334     /    0    0    0
   12:14.140   183535     /    0    0    0
   12:14.960   183740     /    0    0    0
   12:15.844   183961     /    0    0    0
   12:16.700   184175     /    0    0    0
   12:17.508   184377     /    0    0    0
   12:18.308   184577     /    0    0    0
   12:19.104   184776     /    0    0    0
   12:19.928   184982     /    0    0    0
   12:20.748   185187     /    0    0    0
   12:21.596   185399     /    0    0    0
   12:22.484   185621     /    0    0    0
   12:23.324   185831     /    0    0    0
   12:24.112   186028     /    0    0    0
   12:24.908   186227     /    0    0    0
   12:25.712   186428     /    0    0    0
   12:26.544   186636     /    0    0    0
   12:27.384   186846     /    0    0    0
   12:28.232   187058     /    0    0    0
   12:29.100   187275     /    0    0    0
   12:29.912   187478     /    0    0    0
   12:30.696   187674     /    0    0    0
   12:31.488   187872     /    0    0    0
   12:32.316   188079     /    0    0    0
   12:33.176   188294     /    0    0    0
   12:34.036   188509     /    0    0    0
   12:34.880   188720     /    0    0    0
   12:35.720   188930     /    0    0    0
   12:36.516   189129     /    0    0    0
   12:37.300   189325     /    0    0    0
   12:38.104   189526     /    0    0    0
   12:38.956   189739     /    0    0    0
   12:39.816   189954     /    0    0    0
   12:40.652   190163     /    0    0    0
   12:41.488   190372     /    0    0    0
   12:42.308   190577     /    0    0    0
   12:43.104   190776     /    0    0    0
   12:43.900   190975     /    0    0    0
   12:44.732   191183     /    0    0    0
   12:45.600   191400     /    0    0    0
   12:46.456   191614     /    0    0    0
   12:47.280   191820     /    0    0    0
   12:48.104   192026     /    0    0    0
   12:48.908   192227     /    0    0    0
   12:49.700   192425     /    0    0    0
   12:50.520   192630     /    0    0    0
   12:51.364   192841     /    0    0    0
   12:52.236   193059     /    0    0    0
   12:53.136   193284     /    0    0    0
   12:53.884   193471     /    0    0    0
   12:54.704   193676     /    0    0    0
   12:55.512   193878     /    0    0    0
   12:56.320   194080     /    0    0    0
   12:57.172   194293     /    0    0    0
   12:58.024   194506     /    0    0    0
   12:58.884   194721     /    0    0    0
   12:59.708   194927     /    0    0    0
   13:00.488   195122     /    0    0    0
   13:01.308   195327     /    0    0    0
   13:02.124   195531     /    0    0    0
   13:02.948   195737     /    0    0    0
   13:03.804   195951     /    0    0    0
   13:04.656   196164     /    0    0    0
   13:05.508   196377     /    0    0    0
   13:06.308   196577     /    0    0    0
   13:07.092   196773     /    0    0    0
   13:07.928   196982     /    0    0    0
   13:08.760   197190     /    0    0    0
   13:09.600   197400     /    0    0    0
   13:10.452   197613     /    0    0    0
   13:11.288   197822     /    0    0    0
   13:12.188   198047     /    0    0    0
   13:12.892   198223     /    0    0    0
   13:13.684   198421     /    0    0    0
   13:14.536   198634     /    0    0    0
   13:15.388   198847     /    0    0    0
   13:16.232   199058     /    0    0    0
   13:17.136   199284     /    0    0    0
   13:17.900   199475     /    0    0    0
   13:18.712   199678     /    0    0    0
   13:19.508   199877     /    0    0    0
   13:20.312   200078     /    0    0    0
   13:21.188   200297     /    0    0    0
   13:22.036   200509     /    0    0    0
   13:22.864   200716     /    0    0    0
   13:23.680   200920     /    0    0    0
   13:24.488   201122     /    0    0    0
   13:25.300   201325     /    0    0    0
   13:26.104   201526     /    0    0    0
   13:26.936   201734     /    0    0    0
   13:27.824   201956     /    0    0    0
   13:28.668   202167     /    0    0    0
   13:29.480   202370     /    0    0    0
   13:30.280   202570     /    0    0    0
   13:31.092   202773     /    0    0    0
   13:31.900   202975     /    0    0    0
   13:32.724   203181     /    0    0    0
   13:33.580   203395     /    0    0    0
   13:34.448   203612     /    0    0    0
   13:35.272   203818     /    0    0    0
   13:36.072   204018     /    0    0    0
   13:36.868   204217     /    0    0    0
   13:37.688   204422     /    0    0    0
   13:38.516   204629     /    0    0    0
   13:39.356   204839     /    0    0    0
   13:40.224   205056     /    0    0    0
   13:41.080   205270     /    0    0    0
   13:41.888   205472     /    0    0    0
   13:42.680   205670     /    0    0    0
   13:43.476   205869     /    0    0    0
   13:44.308   206077     /    0    0    0
   13:45.152   206288     /    0    0    0
   13:45.988   206497     /    0    0    0
   13:46.852   206713     /    0    0    0
   13:47.688   206922     /    0    0    0
   13:48.476   207119     /    0    0    0
   13:49.276   207319     /    0    0    0
   13:50.088   207522     /    0    0    0
   13:50.944   207736     /    0    0    0
   13:51.800   207950     /    0    0    0
   13:52.624   208156     /    0    0    0
   13:53.484   208371     /    0    0    0
   13:54.296   208574     /    0    0    0
   13:55.080   208770     /    0    0    0
   13:55.880   208970     /    0    0    0
   13:56.712   209178     /    0    0    0
   13:57.576   209394     /    0    0    0
   13:58.420   209605     /    0    0    0
   13:59.244   209811     /    0    0    0
   14:00.140   210035     /    0    0    0
   14:00.884   210221     /    0    0    0
   14:01.680   210420     /    0    0    0
   14:02.500   210625     /    0    0    0
   14:03.352   210838     /    0    0    0
   14:04.224   211056     /    0    0    0
   14:05.060   211265     /    0    0    0
   14:05.864   211466     /    0    0    0
   14:06.744   211686     /    0    0    0
   14:07.484   211871     /    0    0    0
   14:08.284   212071     /    0    0    0
   14:09.124   212281     /    0    0    0
   14:09.984   212496     /    0    0    0
   14:10.852   212713     /    0    0    0
   14:11.672   212918     /    0    0    0
   14:12.468   213117     /    0    0    0
   14:13.296   213324     /    0    0    0
   14:14.100   213525     /    0    0    0
   14:14.916   213729     /    0    0    0
   14:15.768   213942     /    0    0    0
   14:16.620   214155     /    0    0    0
   14:17.460   214365     /    0    0    0
   14:18.256   214564     /    0    0    0
   14:19.052   214763     /    0    0    0
   14:19.880   214970     /    0    0    0
   14:20.704   215176     /    0    0    0
   14:21.544   215386     /    0    0    0
   14:22.400   215600     /    0    0    0
   14:23.252   215813     /    0    0    0
   14:24.068   216017     /    0    0    0
   14:24.860   216215     /    0    0    0
   14:25.672   216418     /    0    0    0
   14:26.508   216627     /    0    0    0
   14:27.352   216838     /    0    0    0
   14:28.196   217049     /    0    0    0
   14:29.032   217258     /    0    0    0
   14:29.864   217466     /    0    0    0
   14:30.664   217666     /    0    0    0
   14:31.540   217885     /    0    0    0
   14:32.280   218070     /    0    0    0
   14:33.144   218286     /    0    0    0
   14:33.992   218498     /    0    0    0
   14:34.836   218709     /    0    0    0
   14:35.656   218914     /    0    0    0
   14:36.480   219120     /    0    0    0
   14:37.276   219319     /    0    0    0
   14:38.072   219518     /    0    0    0
   14:38.928   219732     /    0    0    0
   14:39.788   219947     /    0    0    0
   14:40.624   220156     /    0    0    0
   14:41.452   220363     /    0    0    0
   14:42.256   220564     /    0    0    0
   14:43.068   220767     /    0    0    0
   14:43.872   220968     /    0    0    0
   14:44.688   221172     /    0    0    0
   14:45.568   221392     /    0    0    0
   14:46.432   221608     /    0    0    0
   14:47.256   221814     /    0    0    0
   14:48.064   222016     /    0    0    0
   14:48.860   222215     /    0    0    0
   14:49.736   222434     /    0    0    0
   14:50.496   222624     /    0    0    0
   14:51.328   222832     /    0    0    0
   14:52.304   223076     /    0    0    0
   14:53.056   223264     /    0    0    0
   14:53.860   223465     /    0    0    0
   14:54.656   223664     /    0    0    0
   14:55.460   223865     /    0    0    0
   14:56.300   224075     /    0    0    0
   14:57.136   224284     /    0    0    0
   14:57.980   224495     /    0    0    0
   14:58.856   224714     /    0    0    0
   14:59.680   224920     /    0    0    0
